Time,Field A,Field B
09:00,"17
rUNSWift
vs.
R-ZWEI-KICKERS","18
RoboEireann
vs.
HULKs"
09:15,,
09:30,,
09:45,,
10:00,"19
B-Human
vs.
Bembelbots","20
HTWK Robots
vs.
SPQR"
10:15,,
10:30,,
10:45,,
11:00,,
11:15,Lunch Break,
11:30,,
11:45,,
12:00,,
12:15,,
12:30,,
12:45,FA R6,FB R6
13:00,,
13:15,,
13:30,,
13:45,FA R6,FB R6
14:00,,
14:15,,
14:30,,
14:45,SPL vs Humanoid,
15:00,,
15:15,,
15:30,,
15:45,,
16:00,Q1 FB T8:T1,Q2 FA T5:T4
16:15,,
16:30,,
16:45,,
17:00,Q3 FB T7:T2,Q4 FA T6:T3
17:15,,
17:30,,
17:45,,
18:00,,